,IRI_EC,SVO_degree,RR_total,BIS_total,BFI_A,w_cost,b
Street Encounter,0.5804010402038463,-0.10274078501756093,0.31526406228345405,0.09252574352923036,0.5981248849508238,0.27531020851726745,1.0494699388289004
Act of God,0.20795769741324266,-0.042252642016135177,0.15871665239554078,-0.09045631427965378,0.19230605472739382,-0.09374441407153968,0.6837809600977274
Social Media Support,0.5507015241269988,-0.10683415559671114,0.19671202512633335,-0.04857561516119052,0.3888526035979926,0.09550348478889048,0.6806412240104007
Commercial Area,0.5613478092557839,0.010943543224761603,0.2949179814132976,-0.1598848399232155,0.4736503571421462,-0.0737413219762431,0.6791340529278582
For the Young Generation,0.15937832039476166,-0.1609429948968459,0.2837909118106223,-0.06058781239171286,0.24579200260642692,-0.17419399975423366,0.6079632917574995
Community Welfare,0.5582652129005792,-0.08910500221676806,0.3042471730630285,0.07461682423438326,0.3478344081842138,-0.3527414298138312,0.6001717587757003
(Heavy) Belongings,0.7037592531862326,0.050677364699893444,0.3279126483819398,0.052423029293448116,0.4842201976294927,-0.06551184163917205,0.573579412598198
Searching,0.37377051774273795,0.055192156190864455,0.12032680196831046,-0.16918407399607227,0.25965595336207187,-0.027443206085238595,0.4898210530840277
Community Issues,0.17795023254034897,-0.1332154790518184,0.2484797488929278,-0.36933033986205116,0.27028540182273847,-0.3409264734095061,0.3636234612284154
Mobility Prosociality,0.34607711779277783,-0.007767200805100279,0.41101322252774425,-0.09416679450763962,0.24751811491149747,-0.2867196442175971,0.3160456497300195
Safety,0.6044032788323387,0.022945621823871463,0.5320617877027595,0.02205683119668918,0.5604638685227934,-0.35129309746445053,0.23061474464830395
Vulnerable Group,0.5498435449919362,0.17372467589528212,0.3422816542347131,0.07139470946890093,0.29021190037008004,-0.4402806941340654,0.18863813035502466
Pet Care and Issues,0.5227858033324237,-0.11082186297767303,0.21230439323372968,0.19998662532591285,0.3022443005924292,-0.378843040075659,0.16342749418757305
Crime,0.5755401653555079,-0.040452207756265776,0.45572867925829846,-0.008946747152521434,0.3438867103652484,-0.17380374274683597,0.15814161260868626
